,0,1
1,223,64
0,224,64
1,224,64
0,225,64
1,225,64
0,226,64
1,226,64
0,227,64
1,227,64
0,228,64
1,228,64
0,229,64
1,229,64
0,230,64
1,230,64
0,231,64
1,231,64
0,232,64
1,232,64
0,233,64
1,233,64
0,234,64
1,234,64
0,235,64
1,235,64
0,236,64
1,236,64
0,237,64
1,237,64
0,238,64
1,238,64
0,239,64
1,239,64
0,240,64
1,240,64
0,241,64
1,241,64
0,242,64
1,242,64
0,243,64
1,243,64
0,244,64
1,244,64
0,245,64
1,245,64
0,246,64
1,246,64
0,247,64
1,247,64
0,248,64
1,248,64
0,249,64
1,249,64
0,250,64
1,250,64
0,251,64
1,251,64
0,252,64
1,252,64
0,253,64
1,253,64
0,254,64
1,254,64
0,255,64
1,255,64
0,256,64
1,256,64
0,257,64
1,257,64
0,258,64
1,258,64
0,259,64
1,259,64
0,260,64
1,260,64
0,261,64
1,261,64
0,262,64
1,262,64
0,263,64
1,263,64
0,264,64
1,264,64
0,265,64
1,265,64
0,266,64
1,266,64
0,267,64
1,267,64
0,268,64
1,268,64
0,269,64
1,269,64
0,270,64
1,270,64
0,271,64
1,271,64
0,272,64
1,272,64
0,273,64
1,273,64
0,274,64
1,274,64
0,275,64
1,275,64
0,276,64
1,276,64
0,277,64
1,277,64
0,278,64
1,278,64
0,279,64
1,279,64
0,280,64
1,280,64
0,281,64
1,281,64
0,282,64
1,282,64
0,283,64
1,283,64
0,284,64
1,284,64
0,285,64
1,285,64
0,286,64
1,286,64
0,287,64
1,287,64
0,288,64
1,288,64
0,289,64
1,289,64
0,290,64
1,290,64
0,291,64
1,291,64
0,292,64
1,292,64
0,293,64
1,293,64
0,294,64
1,294,64
0,295,64
1,295,64
0,296,64
1,296,64
0,297,64
1,297,64
0,298,64
1,298,64
0,299,64
1,299,64
0,300,64
1,300,64
0,301,64
1,301,64
0,302,64
1,302,64
0,303,64
1,303,64
0,304,64
1,304,64
0,305,64
1,305,64
0,306,64
1,306,64
0,307,64
1,307,64
0,308,64
1,308,64
0,309,64
1,309,64
0,310,64
1,310,64
0,311,64
1,311,64
0,312,64
1,312,64
0,313,64
1,313,64
0,314,64
1,314,64
0,315,64
1,315,64
0,316,64
1,316,64
0,317,64
1,317,64
0,318,64
1,318,64
0,319,64
1,319,64
0,320,64
1,320,64
0,321,64
1,321,64
0,322,64
1,322,64
0,323,64
1,323,64
0,324,64
1,324,64
0,325,64
1,325,64
0,326,64
1,326,64
0,327,64
1,327,64
0,328,64
1,328,64
0,329,64
1,329,64
0,330,64
1,330,64
0,331,64
1,331,64
0,332,64
1,332,64
0,333,64
1,333,64
0,334,64
1,334,64
0,335,64
1,335,64
0,336,64
1,336,64
0,337,64
1,337,64
0,338,64
1,338,64
0,339,64
1,339,64
0,340,64
1,340,64
0,341,64
1,341,64
0,342,64
1,342,64
0,343,64
1,343,64
0,344,64
1,344,64
0,345,64
1,345,64
0,346,64
1,346,64
0,347,64
1,347,64
0,348,64
1,348,64
0,349,64
1,349,64
0,350,64
1,350,64
0,351,64
1,351,64
0,352,64
1,352,64
0,353,64
1,353,64
0,354,64
1,354,64
0,355,64
1,355,64
0,356,64
1,356,64
0,357,64
1,357,64
0,358,64
1,358,64
0,359,64
1,359,64
0,360,64
1,360,64
0,361,64
1,361,64
0,362,64
1,362,64
0,363,64
1,363,64
0,364,64
1,364,64
0,365,64
1,365,64
0,366,64
1,366,64
0,367,64
1,367,64
0,368,64
1,368,64
0,369,64
1,369,64
0,370,64
1,370,64
0,371,64
1,371,64
0,372,64
1,372,64
0,373,64
1,373,64
0,374,64
1,374,64
0,375,64
1,375,64
0,376,64
1,376,64
0,377,64
1,377,64
0,378,64
1,378,64
0,379,64
1,379,64
0,380,64
1,380,64
0,381,64
1,381,64
0,382,64
1,382,64
0,383,64
1,383,64
0,384,64
1,384,64
0,385,64
1,385,64
0,386,64
1,386,64
0,387,64
1,387,64
0,388,64
1,388,64
0,389,64
1,389,64
0,390,64
1,390,64
0,391,64
1,391,64
0,392,64
1,392,64
0,393,64
1,393,64
0,394,64
1,394,64
0,395,64
1,395,64
0,396,64
1,396,64
0,397,64
1,397,64
0,398,64
1,398,64
0,399,64
1,399,64
0,400,64
1,400,64
0,401,64
1,401,64
0,402,64
1,402,64
0,403,64
1,403,64
0,404,64
1,404,64
0,405,64
1,405,64
0,406,64
1,406,64
0,407,64
1,407,64
0,408,64
1,408,64
0,409,64
1,409,64
0,410,64
1,410,64
0,411,64
1,411,64
0,412,64
1,412,64
0,413,64
1,413,64
0,414,64
1,414,64
0,415,64
1,415,64
0,416,64
1,416,64
0,417,64
1,417,64
0,418,64
1,418,64
0,419,64
1,419,64
0,420,64
